SHIP'S NAME,COUNTRY,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
ZAMORA,ECUADOR,45000,174,32.2,18,12,6,7.4588,5.403726708,9.666666667,1.788888889,2.683333333,14.5,0.666666667,0.180534345
HELLAS ENDURANCE,GREECE,46000,174,32.2,18.2,12.2,6,7.4588,5.403726708,9.56043956,1.769230769,2.639344262,14.26229508,0.67032967,0.180534345
HELLAS PROGRESS,GREECE,46000,174,32.2,18.2,12.2,6,7.4588,5.403726708,9.56043956,1.769230769,2.639344262,14.26229508,0.67032967,0.180534345
HELLAS CONSTELLATION,GREECE,46000,174,32.2,18.2,12.2,6,7.4588,5.403726708,9.56043956,1.769230769,2.639344262,14.26229508,0.67032967,0.180534345
HELLAS SYMPHONY,GREECE,46000,174,32.2,18.2,12.2,6,7.4588,5.403726708,9.56043956,1.769230769,2.639344262,14.26229508,0.67032967,0.180534345
TORM GUDRUN,DENMARK,100000,234,42,21,14.3,6.7,7.40736,5.571428571,11.14285714,2,2.937062937,16.36363636,0.680952381,0.154604105
PRIMORYE,RUSSIA,105000,234,42,21,14.9,6.1,7.9732,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.16641414
AGATHONISSOS,GREECE,105000,234,42,21,13.6,7.4,7.76744,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.162119582
MAKRONISSOS,GREECE,105000,234,42,21,13.6,7.4,7.76744,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.162119582
ERIKOUSSA,GREECE,70000,219,32.2,20.4,12.2,8.2,7.9732,6.801242236,10.73529412,1.578431373,2.639344262,17.95081967,0.598039216,0.172018873
SKOPELOS,GREECE,70000,219,32.2,20.4,12.2,8.2,7.9732,6.801242236,10.73529412,1.578431373,2.639344262,17.95081967,0.598039216,0.172018873
ENERGY CENTURY,GREECE,70000,219,32.2,20.4,12.2,8.2,7.9732,6.801242236,10.73529412,1.578431373,2.639344262,17.95081967,0.598039216,0.172018873
NIDIA,U. K.,70000,219,32.2,20.4,12.2,8.2,7.9732,6.801242236,10.73529412,1.578431373,2.639344262,17.95081967,0.598039216,0.172018873
TORM ESTRID,DENMARK,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
TORM ANNA,SWEDEN,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
ALONISSOS,GREECE,105000,234,42,21,13.6,7.4,7.76744,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.162119582
NORDVENUS,CYPRUS,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
NORDMARS,CYPRUS,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
NORDNEPTUN,CYPRUS,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
NORDMERKUR,CYPRUS,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
MEGALONISSOS,GREECE,105000,234,42,21,13.6,7.4,7.76744,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.162119582
CENITO,ITALY,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
TORM ISMINI,DENMARK,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
RUDOLF SCHULTE,GERMANY,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
EVERHARD SCHULTE,GERMANY,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
PHOENIX DREAM,JAPAN,105000,234,42,21,13.6,7.4,7.76744,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.162119582
GULF PEARL,UAE,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
GULF HORIZON,UAE,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
GULF STREAM,UAE,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
GULF COAST,UAE,75000,219,32.2,20.9,12.8,8.1,8.2304,6.801242236,10.4784689,1.540669856,2.515625,17.109375,0.612440191,0.177567868
PROTEAS,GREECE,116000,239,44,22.7,15.4,7.3,7.76744,5.431818182,10.52863436,1.938325991,2.857142857,15.51948052,0.678414097,0.160414807
PROMITHEAS,GREECE,116000,239,44,22.7,15.4,7.3,7.76744,5.431818182,10.52863436,1.938325991,2.857142857,15.51948052,0.678414097,0.160414807
PROPONTIS,GREECE,116000,239,44,22.7,15.4,7.3,7.76744,5.431818182,10.52863436,1.938325991,2.857142857,15.51948052,0.678414097,0.160414807
DONEGAL SPIRIT,CANADA,105000,234,42,21,14.9,6.1,7.51024,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.156751384
GALWAY SPIRIT,CANADA,105000,234,42,21,14.9,6.1,7.66456,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.159972303
